company,category,year,revenue,gross_profit,gross_profit_margin,net_income,net_profit_margin,ebitda,ebitda_margin
SHLDQ,Finance,2018,16702.0,3527.0,21.117231469285116,-383.0,-2.2931,-52.0,-0.31133995928631303
PCG,Manufacturing,2018,16759.0,12260.0,73.154722835491384,-6851.0,-40.8795,-6664.0,-39.763709051852736
INTC,ELEC,2018,70848.0,43737.0,61.733570460704613,21053.0,29.7157,32401.0,45.733118789521228
AAPL,IT,2018,265595.0,101839.0,38.343718820007908,59531.0,22.4142,81801.0,30.799149080366721
BCS,BANK,2018,28212.33,28212.33,100.0,1860.711,7.0877,1.0,0.003544549493076254
AIG,Bank,2018,47389.0,6921.0,14.604655088733672,-6.0,-0.0127,6897.0,14.554010424360083
SHLDQ,Finance,2017,22138.0,4686.0,21.16722377811907,-2221.0,-10.0325,-1610.0,-7.2725630138223867
AMZN,LOGI,2017,177866.0,65932.0,37.068354828916149,3033.0,1.7052,15584.0,8.7616520301800236
AAPL,IT,2017,229234.0,88186.0,38.469860491899105,48351.0,21.0924,71501.0,31.191271800867238
INTC,ELEC,2017,62761.0,39098.0,62.296649192970158,9601.0,15.2977,26179.0,41.712209811825815
AIG,Bank,2017,49520.0,6849.0,13.830775444264942,-6084.0,-12.2859,6435.0,12.994749596122778
MSFT,IT,2017,96571.0,62310.0,64.522475691460173,25489.0,26.3941,37803.0,39.145292064905611
PCG,Manufacturing,2017,17135.0,12080.0,70.498978698570184,1646.0,9.6061,5759.0,33.60957105339947
NVDA,ELEC,2017,6910.0,4063.0,58.798842257597684,1666.0,24.11,2121.0,30.694645441389291
BCS,BANK,2017,27162.75,27162.75,100.0,-2477.073,-10.2561,1.0,0.0036815123652796573
GOOG,IT,2017,110855.0,65272.0,58.880519597672631,12662.0,11.4221,33093.0,29.852510035632129
PYPL,FinTech,2017,13094.0,6399.0,48.869711318160988,1795.0,13.7086,2932.0,22.391935237513366
MCD,FOOD,2017,22820.4,10620.8,46.540814359082219,5192.3,22.7529,10916.1,47.83483199242783
SHLDQ,Finance,2016,25146.0,5810.0,23.105066412153029,-1129.0,-4.4898,-570.0,-2.2667621092817942
